id,date,indicator,z_value,direction,fwd_ret_1d,fwd_ret_3d,fwd_ret_5d
KOSPI200,2026-04-22,iv_skew_25d,1.5325085035550432,1,0.011508315016795834,0.0319433500601336,0.04361755069879325
KOSPI200,2026-04-22,pcr_vol,2.5565654051645574,1,0.011508315016795834,0.0319433500601336,0.04361755069879325
NDX,2026-04-22,asset_mgr_net,1.883017880644605,1,-0.005741056318109283,0.013676228640794319,0.009269725020223829
NDX,2026-04-21,asset_mgr_net,1.9168982221214719,1,0.01728918976072924,0.031125970303202966,0.02075340057439834
SPX,2026-04-21,asset_mgr_net,1.5511787053414188,1,0.010460084168953943,0.014307782102996214,0.010587476736859003
NDX,2026-04-20,lev_net,-1.865314372079984,-1,-0.004169527026600228,0.007231611809211058,0.0269022452497214
NDX,2026-04-17,lev_net,-1.95380924071379,-1,-0.0030777040079131845,0.009929714408399848,0.0236663941669637
NDX,2026-04-16,lev_net,-2.052180404771112,-1,0.01288989813162189,0.005562249007898812,0.017074805733300336
KOSPI200,2026-04-15,basis_bp,2.1707282684713394,1,0.023205324023565232,0.020892428540257413,0.05228016583024209
NDX,2026-04-15,lev_net,-2.1625960062395193,-1,0.004900667039583695,0.01472108175269038,0.027960731160948438
SPX,2026-04-15,asset_mgr_net,1.523389902191587,1,0.0026099558353673835,0.012272611795506982,0.01636772351140614
NDX,2026-04-14,lev_net,-2.295364269742982,-1,0.014030650805858746,0.03213488458710634,0.024668009562920812
SPX,2026-04-14,asset_mgr_net,1.581778729713839,1,0.007975783355387733,0.022774727149970753,0.013868898271338859
SPX,2026-04-13,lev_net,1.8603313386362312,1,0.011782866364792755,0.022514397625473137,0.03236888269321048
SPX,2026-04-10,lev_net,1.9538624674938039,1,0.010173274948748201,0.030227868494435706,0.04535351394467635
KOSPI200,2026-04-09,asset_mgr_net,-1.928062786107229,-1,0.015050534218885359,0.03609587063239972,0.08330349408027726
KOSPI200,2026-04-09,lev_net,1.5149913092943255,1,0.015050534218885359,0.03609587063239972,0.08330349408027726
NDX,2026-04-09,lev_net,-1.536758466489955,-1,0.0013655161995416165,0.03029692346147761,0.04987264474541808
